gender,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,age,race
0,6,8,8,8,8,6,7,21,4
0,7,8,10,7,7,5,8,21,4
0,10,10,10,10,10,10,10,21,4
0,7,8,9,8,9,8,7,21,4
0,8,7,9,6,9,7,8,21,4
0,7,7,8,8,7,7,7,21,4
0,3,6,7,5,8,7,2,21,4
0,6,7,5,6,8,6,7,21,4
0,7,7,8,8,8,9,6.5,21,4
0,6,6,6,6,6,6,6,21,4
0,8,7,6,9,7,4,7,24,2
0,7,6,10,6,6,5,8,24,2
0,10,10,10,10,10,10,10,24,2
0,9,9,9,9,9,9,9,24,2
0,10,10,10,10,7,8,10,24,2
0,7,8,7,5,7,7,7,24,2
0,5,3,4,3,5,3,4,24,2
0,7,7,7,7,7,5,7,24,2
0,8,6,9,9,8,7,8,24,2
0,6,5,7,7,9,7,6,24,2
0,7,8,6,5,8,4,5,25,2
0,6,7,10,6,6,5,7,25,2
0,10,10,10,10,10,10,10,25,2
0,7,9,8,8,8,8,7,25,2
0,7,6,6,6,6,6,6,25,2
0,6,3,5,4,5,4,2,25,2
0,4,5,6,4,6,4,5,25,2
0,7,7,6,8,7,7,7,25,2
0,5,6,8,5,8,6,5,25,2
0,6,7,8,7,7,5,6,23,2
0,6,5,10,6,6,5,6,23,2
0,10,10,10,10,10,10,10,23,2
0,7,7,7,9,9,9,8,23,2
0,8,8,9,8,8,9,9,23,2
0,6,6,7,7,8,7,6,23,2
0,7,6,3,5,6,5,6,23,2
0,6,7,8,6,6,5,7,23,2
0,7,7,7,10,9,10,8,23,2
0,7,8,8,7,8,7,7,23,2
0,6,8,8,8,7,6,6,21,2
0,6,7,10,7,6,5,7,21,2
0,10,10,10,10,10,10,10,21,2
0,6,8,6,8,10,10,7,21,2
0,5,9,9,7,9,5,5,21,2
0,5,8,7,7,7,7,6,21,2
0,2,3,4,4,5,3,3,21,2
0,5,5,6,5,5,5,6,21,2
0,5,9,9,9,9,6,7,21,2
0,3,10,7,7,10,5,4,21,2
0,7,9,8,9,8,4,7,23,4
0,6,8,10,6,7,6,7,23,4
0,10,10,10,10,10,10,10,23,4
0,6,8,8,7,9,8,7,23,4
0,9,7,9,7,9,6,9,23,4
0,6,6,8,8,8,7,6,23,4
0,5,6,8,4,5,4,3,23,4
0,6,7,8,7,8,5,7,23,4
0,6,7,7,6,6,6,6,23,4
0,7,10,10,6,10,7,6,23,4
0,7,8,8,8,7,7,7,22,4
0,7,9,10,6,6,5,8,22,4
0,10,10,10,10,10,10,10,22,4
0,8,8,9,8,9,9,8,22,4
0,8,7,9,6,9,5,8,22,4
0,8,8,8,6,6,6,7,22,4
0,7,6,5,4,4,3,5,22,4
0,8,7,6,7,7,5,7,22,4
0,9,7,9,9,9,10,9,22,4
0,7,6,8,6,8,7,7,22,4
0,8,7,6,6,6,5,7,25,2
0,8,8,10,7,6,5,9,25,2
0,10,10,10,10,10,10,10,25,2
0,8,8,8,8,8,7,8,25,2
0,8,7,7,7,8,7,7,25,2
0,6,4,7,5,6,4,4,25,2
0,9,8,8,8,7,5,7,25,2
0,8,7,8,10,8,10,8,25,2
0,8,10,9,9,8,8,8,25,2
0,6,8,7,8,7,5,6,26,6
0,8,8,10,7,6,5,8,26,6
0,10,10,10,10,10,10,10,26,6
0,7,8,7,8,8,7,7,26,6
0,7,9,8,9,7,7,7,26,6
0,6,6,7,8,7,7,6,26,6
0,8,6,7,8,6,5,8,26,6
0,7,7,7,7,6,5,7,26,6
0,6,6,6,7,6,6,6,26,6
0,5,6,6,6,6,6,6,26,6
0,7,8,7,8,6,5,6,26,2
0,1,1,1,1,1,1,1,26,2
0,10,10,10,10,10,10,10,26,2
0,7,8,7,9,8,8,7,26,2
0,7,7,4,3,4,4,3,26,2
0,6,6,6,6,6,5,7,26,2
0,7,7,7,7,6,6,7,26,2
0,6,6,6,6,6,6,7,26,2
1,6,9,7,7,6,5,7,27,2
1,5,7,8,4,6,3,6,27,2
1,7,9,10,7,8,9,8,27,2
1,4,10,8,5,8,7,6,27,2
1,5,8,8,2,2,2,7,27,2
1,6,9,7,6,7,6,6,27,2
1,4,8,8,5,7,4,7,27,2
1,5,8,7,4,7,5,4,27,2
1,8,10,9,8,7,6,5,27,2
1,7,8,7,8,5,6,7,22,2
1,8,5,6,6,9,6,7,22,2
1,9,7,9,8,9,7,8,22,2
1,8,7,8,10,7,8,8,22,2
1,8,6,6,5,5,5,6,22,2
1,6,9,9,6,8,2,7,22,2
1,6,6,8,4,9,4,7,22,2
1,8,7,7,9,6,7,8,22,2
1,10,10,10,10,10,10,10,22,2
1,5,8,9,8,5,7,7,22,4
1,5,8,9,6,3,4,6,22,4
1,7,9,9,7,9,7,8,22,4
1,4,7,8,8,6,7,4,22,4
1,4,6,8,8,6,5,6,22,4
1,4,7,9,4,3,2,6,22,4
1,3,6,8,7,8,8,7,22,4
1,5,8,8,6,7,7,5,22,4
1,5,10,10,6,6,6,8,22,4
1,7,6,8,7,6,8,7,23,2
1,7,9,7,6,5,7,7,23,2
1,9,7,9,7,9,7,8,23,2
1,8,10,7,10,7,10,8,23,2
1,8,5,5,7,7,9,8,23,2
1,8,6,7,8,2,8,9,23,2
1,7,8,8,7,7,6,8,23,2
1,8,6,5,6,6,5,5,23,2
1,10,9,8,8,7,7,7,23,2
1,5,6,7,7,6,6,6,24,3
1,6,8,7,9,7,8,8,24,3
1,9,10,10,10,10,10,9,24,3
1,6,9,8,9,8,9,7,24,3
1,6,7,7,5,4,8,7,24,3
1,5,4,8,8,4,2,4,24,3
1,4,7,7,4,8,5,5,24,3
1,6,8,8,5,6,7,6,24,3
1,5,10,8,8,5,5,5,24,3
1,4,9,7,4,6,4,6,25,2
1,8,7,8,3,6,2,6,25,2
1,8,10,10,7,9,9,8,25,2
1,5,10,8,4,8,2,4,25,2
