attr_o,sinc_o,shar_o,gender,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha
6,8,6,0,35,20,20,20,0,5
7,8,5,0,60,0,0,40,0,0
10,10,10,0,19,18,19,18,14,12
7,8,8,0,30,5,15,40,5,5
8,7,7,0,30,10,20,10,10,20
7,7,7,0,50,0,30,10,0,10
3,6,7,0,35,15,25,10,5,10
6,7,6,0,33.33,11.11,11.11,11.11,11.11,22.22
7,7,9,0,50,0,25,10,0,15
6,6,6,0,100,0,0,0,0,0
8,7,4,0,35,20,20,20,0,5
7,6,5,0,60,0,0,40,0,0
10,10,10,0,19,18,19,18,14,12
9,9,9,0,30,5,15,40,5,5
10,10,8,0,30,10,20,10,10,20
7,8,7,0,50,0,30,10,0,10
5,3,3,0,35,15,25,10,5,10
7,7,5,0,33.33,11.11,11.11,11.11,11.11,22.22
8,6,7,0,50,0,25,10,0,15
6,5,7,0,100,0,0,0,0,0
7,8,4,0,35,20,20,20,0,5
6,7,5,0,60,0,0,40,0,0
10,10,10,0,19,18,19,18,14,12
7,9,8,0,30,5,15,40,5,5
7,6,6,0,50,0,30,10,0,10
6,3,4,0,35,15,25,10,5,10
4,5,4,0,33.33,11.11,11.11,11.11,11.11,22.22
7,7,7,0,50,0,25,10,0,15
5,6,6,0,100,0,0,0,0,0
6,7,5,0,35,20,20,20,0,5
6,5,5,0,60,0,0,40,0,0
10,10,10,0,19,18,19,18,14,12
7,7,9,0,30,5,15,40,5,5
8,8,9,0,30,10,20,10,10,20
6,6,7,0,50,0,30,10,0,10
7,6,5,0,35,15,25,10,5,10
6,7,5,0,33.33,11.11,11.11,11.11,11.11,22.22
7,7,10,0,50,0,25,10,0,15
7,8,7,0,100,0,0,0,0,0
6,8,6,0,35,20,20,20,0,5
6,7,5,0,60,0,0,40,0,0
10,10,10,0,19,18,19,18,14,12
6,8,10,0,30,5,15,40,5,5
5,9,5,0,30,10,20,10,10,20
5,8,7,0,50,0,30,10,0,10
2,3,3,0,35,15,25,10,5,10
5,5,5,0,33.33,11.11,11.11,11.11,11.11,22.22
5,9,6,0,50,0,25,10,0,15
3,10,5,0,100,0,0,0,0,0
7,9,4,0,35,20,20,20,0,5
6,8,6,0,60,0,0,40,0,0
10,10,10,0,19,18,19,18,14,12
6,8,8,0,30,5,15,40,5,5
9,7,6,0,30,10,20,10,10,20
6,6,7,0,50,0,30,10,0,10
5,6,4,0,35,15,25,10,5,10
6,7,5,0,33.33,11.11,11.11,11.11,11.11,22.22
6,7,6,0,50,0,25,10,0,15
7,10,7,0,100,0,0,0,0,0
7,8,7,0,35,20,20,20,0,5
7,9,5,0,60,0,0,40,0,0
10,10,10,0,19,18,19,18,14,12
8,8,9,0,30,5,15,40,5,5
8,7,5,0,30,10,20,10,10,20
8,8,6,0,50,0,30,10,0,10
7,6,3,0,35,15,25,10,5,10
8,7,5,0,33.33,11.11,11.11,11.11,11.11,22.22
9,7,10,0,50,0,25,10,0,15
7,6,7,0,100,0,0,0,0,0
8,7,5,0,35,20,20,20,0,5
8,8,5,0,60,0,0,40,0,0
10,10,10,0,19,18,19,18,14,12
8,8,7,0,30,5,15,40,5,5
8,7,7,0,50,0,30,10,0,10
6,4,4,0,35,15,25,10,5,10
9,8,5,0,33.33,11.11,11.11,11.11,11.11,22.22
8,7,10,0,50,0,25,10,0,15
8,10,8,0,100,0,0,0,0,0
6,8,5,0,35,20,20,20,0,5
8,8,5,0,60,0,0,40,0,0
10,10,10,0,19,18,19,18,14,12
7,8,7,0,30,5,15,40,5,5
7,9,7,0,30,10,20,10,10,20
6,6,7,0,50,0,30,10,0,10
8,6,5,0,35,15,25,10,5,10
7,7,5,0,33.33,11.11,11.11,11.11,11.11,22.22
6,6,6,0,50,0,25,10,0,15
5,6,6,0,100,0,0,0,0,0
7,8,5,0,35,20,20,20,0,5
1,1,1,0,60,0,0,40,0,0
10,10,10,0,19,18,19,18,14,12
7,8,8,0,30,5,15,40,5,5
7,7,4,0,35,15,25,10,5,10
6,6,5,0,33.33,11.11,11.11,11.11,11.11,22.22
7,7,6,0,50,0,25,10,0,15
6,6,6,0,100,0,0,0,0,0
6,9,5,1,15,20,20,15,15,15
5,7,3,1,45,5,25,20,0,5
7,9,9,1,35,10,35,10,10,0
4,10,7,1,20,20,20,20,10,10
5,8,2,1,20,5,25,25,10,15
6,9,6,1,10,25,20,25,5,15
4,8,4,1,15,15,25,20,15,10
5,8,5,1,9.09,18.18,27.27,18.18,18.18,9.09
8,10,6,1,20,10,20,30,10,10
7,8,6,1,15,20,20,15,15,15
8,5,6,1,45,5,25,20,0,5
9,7,7,1,35,10,35,10,10,0
8,7,8,1,20,20,20,20,10,10
8,6,5,1,20,5,25,25,10,15
6,9,2,1,10,25,20,25,5,15
6,6,4,1,15,15,25,20,15,10
8,7,7,1,9.09,18.18,27.27,18.18,18.18,9.09
10,10,10,1,20,10,20,30,10,10
5,8,7,1,15,20,20,15,15,15
5,8,4,1,45,5,25,20,0,5
7,9,7,1,35,10,35,10,10,0
4,7,7,1,20,20,20,20,10,10
4,6,5,1,20,5,25,25,10,15
4,7,2,1,10,25,20,25,5,15
3,6,8,1,15,15,25,20,15,10
5,8,7,1,9.09,18.18,27.27,18.18,18.18,9.09
5,10,6,1,20,10,20,30,10,10
7,6,8,1,15,20,20,15,15,15
7,9,7,1,45,5,25,20,0,5
9,7,7,1,35,10,35,10,10,0
8,10,10,1,20,20,20,20,10,10
8,5,9,1,20,5,25,25,10,15
8,6,8,1,10,25,20,25,5,15
7,8,6,1,15,15,25,20,15,10
8,6,5,1,9.09,18.18,27.27,18.18,18.18,9.09
10,9,7,1,20,10,20,30,10,10
5,6,6,1,15,20,20,15,15,15
6,8,8,1,45,5,25,20,0,5
9,10,10,1,35,10,35,10,10,0
6,9,9,1,20,20,20,20,10,10
6,7,8,1,20,5,25,25,10,15
5,4,2,1,10,25,20,25,5,15
4,7,5,1,15,15,25,20,15,10
6,8,7,1,9.09,18.18,27.27,18.18,18.18,9.09
5,10,5,1,20,10,20,30,10,10
4,9,4,1,15,20,20,15,15,15
8,7,2,1,45,5,25,20,0,5
8,10,9,1,35,10,35,10,10,0
5,10,2,1,20,20,20,20,10,10
5,6,8,1,20,5,25,25,10,15
3,7,1,1,10,25,20,25,5,15
4,8,4,1,15,15,25,20,15,10
6,8,7,1,9.09,18.18,27.27,18.18,18.18,9.09
8,9,5,1,20,10,20,30,10,10
7,6,7,1,15,20,20,15,15,15
7,5,9,1,45,5,25,20,0,5
8,9,9,1,35,10,35,10,10,0
7,10,5,1,20,20,20,20,10,10
6,6,6,1,20,5,25,25,10,15
8,8,4,1,10,25,20,25,5,15
7,7,7,1,15,15,25,20,15,10
6,7,7,1,9.09,18.18,27.27,18.18,18.18,9.09
6,8,6,1,20,10,20,30,10,10
4,9,6,1,15,20,20,15,15,15
5,8,5,1,45,5,25,20,0,5
7,9,7,1,35,10,35,10,10,0
5,9,7,1,20,20,20,20,10,10
5,5,5,1,20,5,25,25,10,15
4,8,3,1,10,25,20,25,5,15
5,7,5,1,15,15,25,20,15,10
5,6,6,1,9.09,18.18,27.27,18.18,18.18,9.09
6,7,6,1,20,10,20,30,10,10
7,6,8,1,15,20,20,15,15,15
7,6,5,1,45,5,25,20,0,5
9,9,9,1,35,10,35,10,10,0
9,8,8,1,20,20,20,20,10,10
7,5,9,1,20,5,25,25,10,15
7,6,9,1,10,25,20,25,5,15
6,6,6,1,15,15,25,20,15,10
8,8,9,1,9.09,18.18,27.27,18.18,18.18,9.09
8,5,5,1,20,10,20,30,10,10
9,9,9,1,15,15,15,40,10,5
5,6,8,1,15,20,20,15,15,15
6,7,8,1,45,5,25,20,0,5
8,7,7,1,35,10,35,10,10,0
8,9,8,1,20,20,20,20,10,10
9,6,5,1,20,5,25,25,10,15
8,9,7,1,10,25,20,25,5,15
8,6,6,1,15,15,25,20,15,10
7,6,8,1,9.09,18.18,27.27,18.18,18.18,9.09
7,8,8,1,20,10,20,30,10,10
9,9,8,1,15,15,15,40,10,5
3,10,7,0,25,20,25,20,10,0
3,10,2,0,20,25,20,15,10,10
4,5,2,0,25,35,30,10,0,0
6,7,7,0,25,15,25,25,15,15
7,8,6,0,25,15,25,15,0,20
6,7,8,0,20,35,20,10,10,5
9,5,7,0,20,20,25,25,5,5
3,8,3,0,30,15,25,25,5,0
6,7,4,0,20,20,20,20,5,15
2,8,2,0,25,10,35,15,0,15
6,6,6,0,15,20,15,30,5,15
6,8,6,0,40,15,20,10,5,10
5,7,5,0,40,20,20,20,0,0
5,8,5,0,20,25,25,10,10,10
4,10,4,0,25,20,25,20,10,0
3,6,1,0,20,25,20,15,10,10
4,5,1,0,25,35,30,10,0,0
6,7,5,0,25,15,25,25,15,15
7,7,5,0,25,15,25,15,0,20
5,8,5,0,20,35,20,10,10,5
2,2,1,0,25,10,35,15,0,15
4,6,5,0,15,20,15,30,5,15
6,8,6,0,40,15,20,10,5,10
4,7,5,0,40,20,20,20,0,0
5,8,8,0,20,25,25,10,10,10
5,4,3,0,25,20,25,20,10,0
4,6,2,0,25,35,30,10,0,0
8,8,8,0,25,15,25,25,15,15
7,8,6,0,25,15,25,15,0,20
6,8,9,0,20,35,20,10,10,5
5,6,4,0,20,20,25,25,5,5
4,6,3,0,30,15,25,25,5,0
7,8,3,0,20,20,20,20,5,15
4,6,1,0,25,10,35,15,0,15
7,7,5,0,15,20,15,30,5,15
7,8,6,0,40,15,20,10,5,10
6,7,7,0,40,20,20,20,0,0
6,9,7,0,20,25,25,10,10,10
5,10,5,0,25,20,25,20,10,0
7,6,2,0,20,25,20,15,10,10
5,5,2,0,25,35,30,10,0,0
5,7,8,0,25,15,25,25,15,15
6,6,5,0,25,15,25,15,0,20
7,8,9,0,20,35,20,10,10,5
6,6,4,0,20,20,25,25,5,5
7,7,7,0,20,20,20,20,5,15
7,5,6,0,25,10,35,15,0,15
7,7,2,0,15,20,15,30,5,15
8,8,7,0,40,15,20,10,5,10
8,7,8,0,40,20,20,20,0,0
8,9,6,0,20,25,25,10,10,10
