,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga
sports,1,0.866611,0.933555,0.892483,0.889186,0.878243,0.916376,0.716919,0.808321,0.902756,0.827144,0.845983,0.892777,0.87889,0.895626,0.825059,0.77085
tvsports,0.866611,1,0.826466,0.810639,0.81549,0.800061,0.814813,0.716266,0.759887,0.815372,0.820811,0.826484,0.831963,0.817121,0.816752,0.790223,0.700694
exercise,0.933555,0.826466,1,0.926902,0.894232,0.885842,0.880664,0.741497,0.844577,0.908286,0.853341,0.901224,0.916614,0.885591,0.907518,0.867837,0.81302
dining,0.892483,0.810639,0.926902,1,0.981012,0.974422,0.920382,0.785172,0.933292,0.976534,0.913392,0.980192,0.986566,0.965711,0.980592,0.966723,0.87574
museums,0.889186,0.81549,0.894232,0.981012,1,0.998581,0.912642,0.762331,0.904055,0.967327,0.883231,0.977716,0.97338,0.960976,0.968112,0.928628,0.885214
art,0.878243,0.800061,0.885842,0.974422,0.998581,1,0.905952,0.749517,0.89904,0.955585,0.87566,0.975545,0.969276,0.959097,0.964594,0.917395,0.884345
hiking,0.916376,0.814813,0.880664,0.920382,0.912642,0.905952,1,0.82583,0.858801,0.900991,0.81837,0.893628,0.912194,0.932978,0.927621,0.852815,0.870905
gaming,0.716919,0.716266,0.741497,0.785172,0.762331,0.749517,0.82583,1,0.753588,0.782637,0.767664,0.781961,0.778756,0.782945,0.778127,0.727881,0.643835
clubbing,0.808321,0.759887,0.844577,0.933292,0.904055,0.89904,0.858801,0.753588,1,0.903253,0.846677,0.901109,0.918271,0.889993,0.90799,0.871455,0.803303
reading,0.902756,0.815372,0.908286,0.976534,0.967327,0.955585,0.900991,0.782637,0.903253,1,0.885713,0.958666,0.972683,0.953761,0.968784,0.923301,0.874357
tv,0.827144,0.820811,0.853341,0.913392,0.883231,0.87566,0.81837,0.767664,0.846677,0.885713,1,0.907133,0.935565,0.881892,0.905837,0.923507,0.796977
theater,0.845983,0.826484,0.901224,0.980192,0.977716,0.975545,0.893628,0.781961,0.901109,0.958666,0.907133,1,0.98636,0.976965,0.979726,0.941679,0.888647
movies,0.892777,0.831963,0.916614,0.986566,0.97338,0.969276,0.912194,0.778756,0.918271,0.972683,0.935565,0.98636,1,0.9856,0.995248,0.944345,0.878884
concerts,0.87889,0.817121,0.885591,0.965711,0.960976,0.959097,0.932978,0.782945,0.889993,0.953761,0.881892,0.976965,0.9856,1,0.995723,0.908902,0.87281
music,0.895626,0.816752,0.907518,0.980592,0.968112,0.964594,0.927621,0.778127,0.90799,0.968784,0.905837,0.979726,0.995248,0.995723,1,0.929667,0.872342
shopping,0.825059,0.790223,0.867837,0.966723,0.928628,0.917395,0.852815,0.727881,0.871455,0.923301,0.923507,0.941679,0.944345,0.908902,0.929667,1,0.813409
yoga,0.77085,0.700694,0.81302,0.87574,0.885214,0.884345,0.870905,0.643835,0.803303,0.874357,0.796977,0.888647,0.878884,0.87281,0.872342,0.813409,1
