,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga
sports,1,0.902714,0.939633,0.949835,0.902756,0.883881,0.876708,0.819417,0.881481,0.898371,0.829226,0.885015,0.922234,0.893162,0.925998,0.834342,0.788201
tvsports,0.902714,1,0.838805,0.840619,0.823697,0.805972,0.75018,0.777493,0.814876,0.811616,0.850705,0.780445,0.826939,0.822641,0.84309,0.773144,0.687173
exercise,0.939633,0.838805,1,0.917312,0.891709,0.873321,0.869653,0.836176,0.860472,0.894181,0.863333,0.882827,0.920085,0.874662,0.916838,0.847466,0.802424
dining,0.949835,0.840619,0.917312,1,0.965561,0.950454,0.901078,0.877215,0.914059,0.954457,0.904212,0.952617,0.980897,0.947948,0.967983,0.935564,0.80788
museums,0.902756,0.823697,0.891709,0.965561,1,0.997521,0.903406,0.859918,0.880901,0.946181,0.890347,0.985317,0.978001,0.962863,0.960827,0.885714,0.818612
art,0.883881,0.805972,0.873321,0.950454,0.997521,1,0.897359,0.852761,0.870663,0.925313,0.868635,0.981522,0.963568,0.956138,0.946573,0.87416,0.824071
hiking,0.876708,0.75018,0.869653,0.901078,0.903406,0.897359,1,0.779077,0.822228,0.884296,0.761756,0.863243,0.879902,0.861851,0.87255,0.785438,0.800585
gaming,0.819417,0.777493,0.836176,0.877215,0.859918,0.852761,0.779077,1,0.832481,0.86306,0.805759,0.818815,0.835361,0.823366,0.840166,0.844554,0.735884
clubbing,0.881481,0.814876,0.860472,0.914059,0.880901,0.870663,0.822228,0.832481,1,0.866228,0.801989,0.886072,0.908454,0.87903,0.899411,0.842024,0.738084
reading,0.898371,0.811616,0.894181,0.954457,0.946181,0.925313,0.884296,0.86306,0.866228,1,0.902792,0.939245,0.969288,0.926078,0.953017,0.846336,0.790815
tv,0.829226,0.850705,0.863333,0.904212,0.890347,0.868635,0.761756,0.805759,0.801989,0.902792,1,0.887536,0.924385,0.854677,0.884251,0.920325,0.732995
theater,0.885015,0.780445,0.882827,0.952617,0.985317,0.981522,0.863243,0.818815,0.886072,0.939245,0.887536,1,0.98198,0.935807,0.941959,0.868911,0.811068
movies,0.922234,0.826939,0.920085,0.980897,0.978001,0.963568,0.879902,0.835361,0.908454,0.969288,0.924385,0.98198,1,0.960635,0.978681,0.906399,0.805365
concerts,0.893162,0.822641,0.874662,0.947948,0.962863,0.956138,0.861851,0.823366,0.87903,0.926078,0.854677,0.935807,0.960635,1,0.991284,0.880159,0.812437
music,0.925998,0.84309,0.916838,0.967983,0.960827,0.946573,0.87255,0.840166,0.899411,0.953017,0.884251,0.941959,0.978681,0.991284,1,0.893007,0.808566
shopping,0.834342,0.773144,0.847466,0.935564,0.885714,0.87416,0.785438,0.844554,0.842024,0.846336,0.920325,0.868911,0.906399,0.880159,0.893007,1,0.785835
yoga,0.788201,0.687173,0.802424,0.80788,0.818612,0.824071,0.800585,0.735884,0.738084,0.790815,0.732995,0.811068,0.805365,0.812437,0.808566,0.785835,1
