﻿Iid,Measure Names,Measure Values
1,Avg. Attr O,6.7
1,Avg. Sinc O,7.4
1,Avg. Intel O,8
1,Avg. Fun O,7.2
1,Avg. Amb O,8
1,Avg. Shar O,7.1
2,Avg. Attr O,7.7
2,Avg. Sinc O,7.1
2,Avg. Intel O,7.9
2,Avg. Fun O,7.5
2,Avg. Amb O,7.5
2,Avg. Shar O,6.5
3,Avg. Attr O,6.5
3,Avg. Sinc O,7.1
3,Avg. Intel O,7.3
3,Avg. Fun O,6.2
3,Avg. Amb O,7.111111111
3,Avg. Shar O,6
4,Avg. Attr O,7
4,Avg. Sinc O,7.1
4,Avg. Intel O,7.7
4,Avg. Fun O,7.5
4,Avg. Amb O,7.7
4,Avg. Shar O,7.2
5,Avg. Attr O,5.3
5,Avg. Sinc O,7.7
5,Avg. Intel O,7.6
5,Avg. Fun O,7.2
5,Avg. Amb O,7.8
5,Avg. Shar O,6.2
6,Avg. Attr O,6.8
6,Avg. Sinc O,7.8
6,Avg. Intel O,8.6
6,Avg. Fun O,7
6,Avg. Amb O,8
6,Avg. Shar O,6.3
7,Avg. Attr O,7.9
7,Avg. Sinc O,7.6
7,Avg. Intel O,8.2
7,Avg. Fun O,7
7,Avg. Amb O,7.5
7,Avg. Shar O,6.7
8,Avg. Attr O,8.2
8,Avg. Sinc O,7.8
8,Avg. Intel O,8.1
8,Avg. Fun O,7.9
8,Avg. Amb O,7.444444444
8,Avg. Shar O,6.8
9,Avg. Attr O,7
9,Avg. Sinc O,7.4
9,Avg. Intel O,7.5
9,Avg. Fun O,7.8
9,Avg. Amb O,6.9
9,Avg. Shar O,6.3
10,Avg. Attr O,6.333333333
10,Avg. Sinc O,7
10,Avg. Intel O,6.4
10,Avg. Fun O,6.4
10,Avg. Amb O,6.2
10,Avg. Shar O,5.777777778
21,Avg. Attr O,5.0625
21,Avg. Sinc O,7.3125
21,Avg. Intel O,7.75
21,Avg. Fun O,5.666666667
21,Avg. Amb O,6.666666667
21,Avg. Shar O,5
22,Avg. Attr O,4.8
22,Avg. Sinc O,6.625
22,Avg. Intel O,6.5
22,Avg. Fun O,5.5
22,Avg. Amb O,6.071428571
22,Avg. Shar O,4
23,Avg. Attr O,5.9375
23,Avg. Sinc O,7.266666667
23,Avg. Intel O,6.9375
23,Avg. Fun O,6.25
23,Avg. Amb O,6.4
23,Avg. Shar O,4.923076923
24,Avg. Attr O,6.5
24,Avg. Sinc O,6.933333333
24,Avg. Intel O,7.333333333
24,Avg. Fun O,6.625
24,Avg. Amb O,6.714285714
24,Avg. Shar O,5.285714286
25,Avg. Attr O,7.6875
25,Avg. Sinc O,7.266666667
25,Avg. Intel O,6.933333333
25,Avg. Fun O,7.333333333
25,Avg. Amb O,6
25,Avg. Shar O,4.846153846
26,Avg. Attr O,7.625
26,Avg. Sinc O,7.133333333
26,Avg. Intel O,7.266666667
26,Avg. Fun O,7.466666667
26,Avg. Amb O,6.5
26,Avg. Shar O,6.153846154
27,Avg. Attr O,8.1875
27,Avg. Sinc O,7.4
27,Avg. Intel O,6.866666667
27,Avg. Fun O,7.5625
27,Avg. Amb O,6.571428571
27,Avg. Shar O,5.785714286
28,Avg. Attr O,6.625
28,Avg. Sinc O,7.4375
28,Avg. Intel O,7.25
28,Avg. Fun O,6.375
28,Avg. Amb O,6.625
28,Avg. Shar O,5.642857143
29,Avg. Attr O,5.75
29,Avg. Sinc O,7.2
