﻿Iid,Measure Names,Measure Values
11,Avg. Attr O,5.6
11,Avg. Sinc O,8.8
11,Avg. Intel O,8.2
11,Avg. Fun O,5.4
11,Avg. Amb O,6.4
11,Avg. Shar O,5.222222222
12,Avg. Attr O,7.1
12,Avg. Sinc O,6.6
12,Avg. Intel O,7.1
12,Avg. Fun O,6.7
12,Avg. Amb O,6.9
12,Avg. Shar O,6.111111111
13,Avg. Attr O,4.8
13,Avg. Sinc O,7.9
13,Avg. Intel O,8.8
13,Avg. Fun O,7
13,Avg. Amb O,5.9
13,Avg. Shar O,5.888888889
14,Avg. Attr O,8.2
14,Avg. Sinc O,7.6
14,Avg. Intel O,7.4
14,Avg. Fun O,7.6
14,Avg. Amb O,6.6
14,Avg. Shar O,7.444444444
15,Avg. Attr O,5.7
15,Avg. Sinc O,7.6
15,Avg. Intel O,7.7
15,Avg. Fun O,7.2
15,Avg. Amb O,6.5
15,Avg. Shar O,6.666666667
16,Avg. Attr O,5.6
16,Avg. Sinc O,8.4
16,Avg. Intel O,7.6
16,Avg. Fun O,4.4
16,Avg. Amb O,6
16,Avg. Shar O,4.666666667
17,Avg. Attr O,6.7
17,Avg. Sinc O,7.6
17,Avg. Intel O,8.5
17,Avg. Fun O,6.1
17,Avg. Amb O,6.7
17,Avg. Shar O,6.666666667
18,Avg. Attr O,5.1
18,Avg. Sinc O,7.4
18,Avg. Intel O,7.7
18,Avg. Fun O,5.2
18,Avg. Amb O,7.5
18,Avg. Shar O,5.555555556
19,Avg. Attr O,7.7
19,Avg. Sinc O,6.8
19,Avg. Intel O,7.7
19,Avg. Fun O,8.5
19,Avg. Amb O,7.1
19,Avg. Shar O,7.7
20,Avg. Attr O,7.5
20,Avg. Sinc O,7.3
20,Avg. Intel O,7.9
20,Avg. Fun O,8.2
20,Avg. Amb O,8.4
20,Avg. Shar O,7.3
40,Avg. Attr O,4.105263158
40,Avg. Sinc O,6.631578947
40,Avg. Intel O,6.473684211
40,Avg. Fun O,5.947368421
40,Avg. Amb O,6
40,Avg. Shar O,4.8
41,Avg. Attr O,3.684210526
41,Avg. Sinc O,6.473684211
41,Avg. Intel O,6.666666667
41,Avg. Fun O,4
41,Avg. Amb O,6.631578947
41,Avg. Shar O,3.642857143
42,Avg. Attr O,4.947368421
42,Avg. Sinc O,6.052631579
42,Avg. Intel O,6.888888889
42,Avg. Fun O,5.736842105
42,Avg. Amb O,6.777777778
42,Avg. Shar O,4.8
43,Avg. Attr O,4.263157895
43,Avg. Sinc O,6.368421053
43,Avg. Intel O,6.947368421
43,Avg. Fun O,4.631578947
43,Avg. Amb O,6.333333333
43,Avg. Shar O,3.9375
44,Avg. Attr O,4.894736842
44,Avg. Sinc O,6.631578947
44,Avg. Intel O,6.789473684
44,Avg. Fun O,4.611111111
44,Avg. Amb O,5.894736842
44,Avg. Shar O,4.157894737
45,Avg. Attr O,5.210526316
45,Avg. Sinc O,6.210526316
45,Avg. Intel O,6.894736842
45,Avg. Fun O,3.777777778
45,Avg. Amb O,6.526315789
45,Avg. Shar O,4.055555556
46,Avg. Attr O,7.631578947
46,Avg. Sinc O,6.789473684
46,Avg. Intel O,7.315789474
46,Avg. Fun O,6.777777778
46,Avg. Amb O,6.294117647
46,Avg. Shar O,5.625
47,Avg. Attr O,4.052631579
47,Avg. Sinc O,5.842105263
47,Avg. Intel O,6.473684211
47,Avg. Fun O,5.631578947
47,Avg. Amb O,5.947368421
47,Avg. Shar O,4.611111111
48,Avg. Attr O,6.736842105
48,Avg. Sinc O,6.263157895
48,Avg. Intel O,5.894736842
48,Avg. Fun O,6.789473684
48,Avg. Amb O,5.631578947
48,Avg. Shar O,5.111111111
49,Avg. Attr O,6.315789474
49,Avg. Sinc O,7.055555556
49,Avg. Intel O,7.5
49,Avg. Fun O,6.973684211
49,Avg. Amb O,7.055555556
49,Avg. Shar O,5.941176471
50,Avg. Attr O,6.315789474
50,Avg. Sinc O,6.578947368
50,Avg. Intel O,7.388888889
50,Avg. Fun O,7.631578947
50,Avg. Amb O,7.666666667
50,Avg. Shar O,5.875
51,Avg. Attr O,5.368421053
51,Avg. Sinc O,4.868421053
51,Avg. Intel O,6.473684211
51,Avg. Fun O,4.210526316
51,Avg. Amb O,6.078947368
51,Avg. Shar O,4.352941176
52,Avg. Attr O,3.833333333
52,Avg. Sinc O,6.647058824
52,Avg. Intel O,7.176470588
52,Avg. Fun O,5.111111111
52,Avg. Amb O,6.444444444
52,Avg. Shar O,4.823529412
53,Avg. Attr O,6.888888889
53,Avg. Sinc O,7
53,Avg. Intel O,7.705882353
53,Avg. Fun O,5.611111111
53,Avg. Amb O,7.277777778
53,Avg. Shar O,5.5
54,Avg. Attr O,4.421052632
54,Avg. Sinc O,6.315789474
54,Avg. Intel O,6.75
54,Avg. Fun O,4.842105263
54,Avg. Amb O,6.473684211
54,Avg. Shar O,5
55,Avg. Attr O,6.210526316
55,Avg. Sinc O,7.052631579
55,Avg. Intel O,7
55,Avg. Fun O,7.111111111
55,Avg. Amb O,6.777777778
55,Avg. Shar O,5.277777778
66,Avg. Attr O,5.444444444
66,Avg. Sinc O,7.555555556
66,Avg. Intel O,7.222222222
66,Avg. Fun O,6.222222222
66,Avg. Amb O,6.625
66,Avg. Shar O,4.625
67,Avg. Attr O,6.555555556
67,Avg. Sinc O,8
67,Avg. Intel O,8
67,Avg. Fun O,6.333333333
67,Avg. Amb O,7
67,Avg. Shar O,4.666666667
68,Avg. Attr O,5.5
68,Avg. Sinc O,5.8
68,Avg. Intel O,7.8
68,Avg. Fun O,4.9
68,Avg. Amb O,6
68,Avg. Shar O,4.7
69,Avg. Attr O,7.3
69,Avg. Sinc O,7.6
69,Avg. Intel O,7.9
69,Avg. Fun O,7.1
69,Avg. Amb O,7.111111111
69,Avg. Shar O,5.9
70,Avg. Attr O,6
70,Avg. Sinc O,7.444444444
70,Avg. Intel O,8.555555556
70,Avg. Fun O,8
70,Avg. Amb O,8.444444444
70,Avg. Shar O,6.222222222
71,Avg. Attr O,5
71,Avg. Sinc O,8.222222222
71,Avg. Intel O,7.777777778
71,Avg. Fun O,5.222222222
71,Avg. Amb O,7.333333333
71,Avg. Shar O,5.222222222
72,Avg. Attr O,6.4
72,Avg. Sinc O,7.4
72,Avg. Intel O,6.5
72,Avg. Fun O,5
72,Avg. Amb O,5.6
72,Avg. Shar O,4.8
73,Avg. Attr O,6.111111111
73,Avg. Sinc O,7.666666667
73,Avg. Intel O,7.888888889
73,Avg. Fun O,7.555555556
73,Avg. Amb O,8.25
73,Avg. Shar O,5.444444444
74,Avg. Attr O,5.3
74,Avg. Sinc O,7.3
74,Avg. Intel O,7.6
74,Avg. Fun O,6
74,Avg. Amb O,7.2
74,Avg. Shar O,4.9
75,Avg. Attr O,5.222222222
75,Avg. Sinc O,7.666666667
75,Avg. Intel O,8.111111111
75,Avg. Fun O,5.444444444
75,Avg. Amb O,7.25
75,Avg. Shar O,4.666666667
94,Avg. Attr O,3.666666667
94,Avg. Sinc O,5.352941176
94,Avg. Intel O,6.888888889
94,Avg. Fun O,5.722222222
94,Avg. Amb O,7.529411765
94,Avg. Shar O,4.6
95,Avg. Attr O,4.666666667
95,Avg. Sinc O,6.888888889
95,Avg. Intel O,7
