,iid,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,race,pid,dec_o,gender,age,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,match
0,1,6.0,8.0,8.0,8.0,8.0,6.0,7.0,4.0,11.0,0,0,21.0,35.0,20.0,20.0,20.0,0.0,5.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,0
1,1,7.0,8.0,10.0,7.0,7.0,5.0,8.0,4.0,12.0,0,0,21.0,60.0,0.0,0.0,40.0,0.0,0.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,0
2,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.0,13.0,1,0,21.0,19.0,18.0,19.0,18.0,14.0,12.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,1
3,1,7.0,8.0,9.0,8.0,9.0,8.0,7.0,4.0,14.0,1,0,21.0,30.0,5.0,15.0,40.0,5.0,5.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,1
4,1,8.0,7.0,9.0,6.0,9.0,7.0,8.0,4.0,15.0,1,0,21.0,30.0,10.0,20.0,10.0,10.0,20.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,1
5,1,7.0,7.0,8.0,8.0,7.0,7.0,7.0,4.0,16.0,1,0,21.0,50.0,0.0,30.0,10.0,0.0,10.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,0
6,1,3.0,6.0,7.0,5.0,8.0,7.0,2.0,4.0,17.0,0,0,21.0,35.0,15.0,25.0,10.0,5.0,10.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,0
7,1,6.0,7.0,5.0,6.0,8.0,6.0,7.0,4.0,18.0,0,0,21.0,33.33,11.11,11.11,11.11,11.11,22.22,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,0
8,1,7.0,7.0,8.0,8.0,8.0,9.0,6.5,4.0,19.0,1,0,21.0,50.0,0.0,25.0,10.0,0.0,15.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,1
9,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,20.0,0,0,21.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,0
10,2,8.0,7.0,6.0,9.0,7.0,4.0,7.0,2.0,11.0,0,0,24.0,35.0,20.0,20.0,20.0,0.0,5.0,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0
11,2,7.0,6.0,10.0,6.0,6.0,5.0,8.0,2.0,12.0,0,0,24.0,60.0,0.0,0.0,40.0,0.0,0.0,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0
12,2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,13.0,1,0,24.0,19.0,18.0,19.0,18.0,14.0,12.0,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0
13,2,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2.0,14.0,1,0,24.0,30.0,5.0,15.0,40.0,5.0,5.0,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,1
14,2,10.0,10.0,10.0,10.0,7.0,8.0,10.0,2.0,15.0,1,0,24.0,30.0,10.0,20.0,10.0,10.0,20.0,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0
15,2,7.0,8.0,7.0,5.0,7.0,7.0,7.0,2.0,16.0,1,0,24.0,50.0,0.0,30.0,10.0,0.0,10.0,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0
16,2,5.0,3.0,4.0,3.0,5.0,3.0,4.0,2.0,17.0,0,0,24.0,35.0,15.0,25.0,10.0,5.0,10.0,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0
17,2,7.0,7.0,7.0,7.0,7.0,5.0,7.0,2.0,18.0,1,0,24.0,33.33,11.11,11.11,11.11,11.11,22.22,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0
18,2,8.0,6.0,9.0,9.0,8.0,7.0,8.0,2.0,19.0,1,0,24.0,50.0,0.0,25.0,10.0,0.0,15.0,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,1
19,2,6.0,5.0,7.0,7.0,9.0,7.0,6.0,2.0,20.0,0,0,24.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0
20,3,7.0,8.0,6.0,5.0,8.0,4.0,5.0,2.0,11.0,0,0,25.0,35.0,20.0,20.0,20.0,0.0,5.0,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,0
21,3,6.0,7.0,10.0,6.0,6.0,5.0,7.0,2.0,12.0,0,0,25.0,60.0,0.0,0.0,40.0,0.0,0.0,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,0
22,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,13.0,1,0,25.0,19.0,18.0,19.0,18.0,14.0,12.0,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,0
23,3,7.0,9.0,8.0,8.0,8.0,8.0,7.0,2.0,14.0,1,0,25.0,30.0,5.0,15.0,40.0,5.0,5.0,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,0
25,3,7.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,16.0,1,0,25.0,50.0,0.0,30.0,10.0,0.0,10.0,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,0
26,3,6.0,3.0,5.0,4.0,5.0,4.0,2.0,2.0,17.0,0,0,25.0,35.0,15.0,25.0,10.0,5.0,10.0,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,0
27,3,4.0,5.0,6.0,4.0,6.0,4.0,5.0,2.0,18.0,0,0,25.0,33.33,11.11,11.11,11.11,11.11,22.22,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,0
28,3,7.0,7.0,6.0,8.0,7.0,7.0,7.0,2.0,19.0,1,0,25.0,50.0,0.0,25.0,10.0,0.0,15.0,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,0
29,3,5.0,6.0,8.0,5.0,8.0,6.0,5.0,2.0,20.0,0,0,25.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,0
30,4,6.0,7.0,8.0,7.0,7.0,5.0,6.0,2.0,11.0,0,0,23.0,35.0,20.0,20.0,20.0,0.0,5.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0
31,4,6.0,5.0,10.0,6.0,6.0,5.0,6.0,2.0,12.0,0,0,23.0,60.0,0.0,0.0,40.0,0.0,0.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0
32,4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,13.0,1,0,23.0,19.0,18.0,19.0,18.0,14.0,12.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0
33,4,7.0,7.0,7.0,9.0,9.0,9.0,8.0,2.0,14.0,1,0,23.0,30.0,5.0,15.0,40.0,5.0,5.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,1
34,4,8.0,8.0,9.0,8.0,8.0,9.0,9.0,2.0,15.0,1,0,23.0,30.0,10.0,20.0,10.0,10.0,20.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0
35,4,6.0,6.0,7.0,7.0,8.0,7.0,6.0,2.0,16.0,1,0,23.0,50.0,0.0,30.0,10.0,0.0,10.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0
36,4,7.0,6.0,3.0,5.0,6.0,5.0,6.0,2.0,17.0,1,0,23.0,35.0,15.0,25.0,10.0,5.0,10.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0
37,4,6.0,7.0,8.0,6.0,6.0,5.0,7.0,2.0,18.0,0,0,23.0,33.33,11.11,11.11,11.11,11.11,22.22,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0
38,4,7.0,7.0,7.0,10.0,9.0,10.0,8.0,2.0,19.0,1,0,23.0,50.0,0.0,25.0,10.0,0.0,15.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,1
39,4,7.0,8.0,8.0,7.0,8.0,7.0,7.0,2.0,20.0,0,0,23.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0
